name,type,zone,value
uztwm,sac,SAKW1-1,-99
uzfwm,sac,SAKW1-1,-99
lztwm,sac,SAKW1-1,-99
lzfpm,sac,SAKW1-1,-99
lzfsm,sac,SAKW1-1,-99
adimp,sac,SAKW1-1,-99
uzk,sac,SAKW1-1,-99
lzpk,sac,SAKW1-1,-99
lzsk,sac,SAKW1-1,-99
zperc,sac,SAKW1-1,-99
rexp,sac,SAKW1-1,-99
pctim,sac,SAKW1-1,-99
pfree,sac,SAKW1-1,-99
riva,sac,SAKW1-1,-99
side,sac,SAKW1-1,0
rserv,sac,SAKW1-1,0.3
peadj,sac,SAKW1-1,1
pxadj,sac,SAKW1-1,1
peadj_10,sac,SAKW1-1,0.6889
peadj_11,sac,SAKW1-1,0.3752
peadj_12,sac,SAKW1-1,0.2968
peadj_01,sac,SAKW1-1,0.2812
peadj_02,sac,SAKW1-1,0.2763
peadj_03,sac,SAKW1-1,0.2977
peadj_04,sac,SAKW1-1,0.3411
peadj_05,sac,SAKW1-1,0.4471
peadj_06,sac,SAKW1-1,0.5935
peadj_07,sac,SAKW1-1,0.7806
peadj_08,sac,SAKW1-1,0.8685
peadj_09,sac,SAKW1-1,0.8731
efc,sac,SAKW1-1,0.558042869418
uztwm,sac,SAKW1-2,-99
uzfwm,sac,SAKW1-2,-99
lztwm,sac,SAKW1-2,-99
lzfpm,sac,SAKW1-2,-99
lzfsm,sac,SAKW1-2,-99
adimp,sac,SAKW1-2,-99
uzk,sac,SAKW1-2,-99
lzpk,sac,SAKW1-2,-99
lzsk,sac,SAKW1-2,-99
zperc,sac,SAKW1-2,-99
rexp,sac,SAKW1-2,-99
pctim,sac,SAKW1-2,-99
pfree,sac,SAKW1-2,-99
riva,sac,SAKW1-2,-99
side,sac,SAKW1-2,0
rserv,sac,SAKW1-2,0.3
peadj,sac,SAKW1-2,1
pxadj,sac,SAKW1-2,1
peadj_10,sac,SAKW1-2,0.7076
peadj_11,sac,SAKW1-2,0.303
peadj_12,sac,SAKW1-2,0.2785
peadj_01,sac,SAKW1-2,0.2863
peadj_02,sac,SAKW1-2,0.2534
peadj_03,sac,SAKW1-2,0.284
peadj_04,sac,SAKW1-2,0.5336
peadj_05,sac,SAKW1-2,0.6535
peadj_06,sac,SAKW1-2,0.7797
peadj_07,sac,SAKW1-2,0.8667
peadj_08,sac,SAKW1-2,0.8364
peadj_09,sac,SAKW1-2,0.8001
efc,sac,SAKW1-2,0.327713590935
scf,snow,SAKW1-1,-99
mfmax,snow,SAKW1-1,-99
mfmin,snow,SAKW1-1,-99
uadj,snow,SAKW1-1,-99
si,snow,SAKW1-1,-99
nmf,snow,SAKW1-1,0.15
tipm,snow,SAKW1-1,0.12
mbase,snow,SAKW1-1,0
plwhc,snow,SAKW1-1,0.04
daygm,snow,SAKW1-1,0
adc_a,snow,SAKW1-1,-99
adc_b,snow,SAKW1-1,-99
adc_c,snow,SAKW1-1,-99
init_swe,snow,SAKW1-1,0
alat,snow,SAKW1-1,48.26
elev,snow,SAKW1-1,762.08
scf,snow,SAKW1-2,-99
mfmax,snow,SAKW1-2,-99
mfmin,snow,SAKW1-2,-99
uadj,snow,SAKW1-2,-99
si,snow,SAKW1-2,-99
nmf,snow,SAKW1-2,0.15
tipm,snow,SAKW1-2,0.12
mbase,snow,SAKW1-2,0
plwhc,snow,SAKW1-2,0.04
daygm,snow,SAKW1-2,0
adc_a,snow,SAKW1-2,-99
adc_b,snow,SAKW1-2,-99
adc_c,snow,SAKW1-2,-99
init_swe,snow,SAKW1-2,0
alat,snow,SAKW1-2,48.116
elev,snow,SAKW1-2,1598.68
zone_area,uh,SAKW1-1,799.186
unit_shape,uh,SAKW1-1,-99
unit_toc,uh,SAKW1-1,56.01351997
unit_toc_adj,uh,SAKW1-1,-99
zone_area,uh,SAKW1-2,659.912
unit_shape,uh,SAKW1-2,-99
unit_toc,uh,SAKW1-2,49.53364583
unit_toc_adj,uh,SAKW1-2,-99
n_clmods,chanloss,SAKW1,0
lagtbl_a,lagk,WCHW1,-99
lagtbl_b,lagk,WCHW1,-99
lagtbl_c,lagk,WCHW1,-99
lagtbl_d,lagk,WCHW1,0
ktbl_a,lagk,WCHW1,-99
ktbl_b,lagk,WCHW1,-99
ktbl_c,lagk,WCHW1,-99
ktbl_d,lagk,WCHW1,-99
lagk_lagmax,lagk,WCHW1,25.72884354
lagk_kmax,lagk,WCHW1,25.72884354
lagk_qmax,lagk,WCHW1,12949.7307834687
lagk_lagmin,lagk,WCHW1,3.67554907714286
lagk_kmin,lagk,WCHW1,0
lagk_qmin,lagk,WCHW1,436.208135678143
init_co,lagk,WCHW1,-99
init_if,lagk,WCHW1,-99
init_of,lagk,WCHW1,-99
init_stor,lagk,WCHW1,-99
map_scale,fa,SAKW1,-99
map_p_redist,fa,SAKW1,-99
map_std,fa,SAKW1,-99
map_shift,fa,SAKW1,-99
mat_scale,fa,SAKW1,-99
mat_p_redist,fa,SAKW1,-99
mat_std,fa,SAKW1,-99
mat_shift,fa,SAKW1,-99
