name,type,zone,value
uztwm,sac,SFLN2-1,-99
uzfwm,sac,SFLN2-1,-99
lztwm,sac,SFLN2-1,-99
lzfpm,sac,SFLN2-1,-99
lzfsm,sac,SFLN2-1,-99
adimp,sac,SFLN2-1,-99
uzk,sac,SFLN2-1,-99
lzpk,sac,SFLN2-1,-99
lzsk,sac,SFLN2-1,-99
zperc,sac,SFLN2-1,-99
rexp,sac,SFLN2-1,-99
pctim,sac,SFLN2-1,-99
pfree,sac,SFLN2-1,-99
riva,sac,SFLN2-1,-99
side,sac,SFLN2-1,0
rserv,sac,SFLN2-1,0.3
peadj,sac,SFLN2-1,1
pxadj,sac,SFLN2-1,1
peadj_10,sac,SFLN2-1,0.2
peadj_11,sac,SFLN2-1,0.2
peadj_12,sac,SFLN2-1,0.2
peadj_01,sac,SFLN2-1,0.2
peadj_02,sac,SFLN2-1,0.2
peadj_03,sac,SFLN2-1,0.2
peadj_04,sac,SFLN2-1,0.2
peadj_05,sac,SFLN2-1,0.3111
peadj_06,sac,SFLN2-1,0.3
peadj_07,sac,SFLN2-1,0.2042
peadj_08,sac,SFLN2-1,0.2
peadj_09,sac,SFLN2-1,0.2
efc,sac,SFLN2-1,0.00193053985246
uztwm,sac,SFLN2-2,-99
uzfwm,sac,SFLN2-2,-99
lztwm,sac,SFLN2-2,-99
lzfpm,sac,SFLN2-2,-99
lzfsm,sac,SFLN2-2,-99
adimp,sac,SFLN2-2,-99
uzk,sac,SFLN2-2,-99
lzpk,sac,SFLN2-2,-99
lzsk,sac,SFLN2-2,-99
zperc,sac,SFLN2-2,-99
rexp,sac,SFLN2-2,-99
pctim,sac,SFLN2-2,-99
pfree,sac,SFLN2-2,-99
riva,sac,SFLN2-2,-99
side,sac,SFLN2-2,0
rserv,sac,SFLN2-2,0.3
peadj,sac,SFLN2-2,1
pxadj,sac,SFLN2-2,1
peadj_10,sac,SFLN2-2,0.2203
peadj_11,sac,SFLN2-2,0.2
peadj_12,sac,SFLN2-2,0.2
peadj_01,sac,SFLN2-2,0.2
peadj_02,sac,SFLN2-2,0.2
peadj_03,sac,SFLN2-2,0.2
peadj_04,sac,SFLN2-2,0.2
peadj_05,sac,SFLN2-2,0.3962
peadj_06,sac,SFLN2-2,0.5489
peadj_07,sac,SFLN2-2,0.4513
peadj_08,sac,SFLN2-2,0.3491
peadj_09,sac,SFLN2-2,0.2874
efc,sac,SFLN2-2,0.0195436319341
adimp,sac,SFLN2-CU,-99
efc,sac,SFLN2-CU,0.00193053985246
lzfpm,sac,SFLN2-CU,-99
lzfsm,sac,SFLN2-CU,-99
lzpk,sac,SFLN2-CU,-99
lzsk,sac,SFLN2-CU,-99
lztwm,sac,SFLN2-CU,-99
pctim,sac,SFLN2-CU,-99
peadj,sac,SFLN2-CU,1
peadj_01,sac,SFLN2-CU,0.2
peadj_02,sac,SFLN2-CU,0.2
peadj_03,sac,SFLN2-CU,0.2
peadj_04,sac,SFLN2-CU,0.2
peadj_05,sac,SFLN2-CU,0
peadj_06,sac,SFLN2-CU,0
peadj_07,sac,SFLN2-CU,0
peadj_08,sac,SFLN2-CU,0
peadj_09,sac,SFLN2-CU,0
peadj_10,sac,SFLN2-CU,0
peadj_11,sac,SFLN2-CU,0.2
peadj_12,sac,SFLN2-CU,0.2
pfree,sac,SFLN2-CU,-99
